⸮⸮⸮Initializing I2C devices...
Testing device connections...
MPU6050 connection successful
a/g:	16736	180	468	-112	9	-68
a/g:	16876	264	520	-128	22	-64
a/g:	16768	240	616	-110	-8	-59
a/g:	16852	320	604	-134	-24	-48
a/g:	16788	232	356	-141	1	-68
a/g:	16948	328	536	-125	10	-62
a/g:	16824	268	604	-145	12	-46
a/g:	16908	160	620	-125	-14	-55
a/g:	16744	216	496	-141	-12	-42
a/g:	16796	136	488	-127	6	-25
a/g:	16696	224	436	-126	18	-58
a/g:	16784	148	500	-125	17	-55
a/g:	16852	176	488	-143	10	-38
a/g:	16852	180	476	-132	-10	-54
a/g:	16788	204	576	-135	-22	-33
a/g:	16788	224	372	-136	-22	-48
a/g:	16816	192	540	-124	-7	-59
a/g:	16724	196	556	-121	-24	-62
a/g:	16864	256	364	-130	19	-52
a/g:	16856	180	452	-129	-12	-47
a/g:	16736	292	420	-131	7	-67
a/g:	16876	220	612	-104	12	-46
a/g:	16812	244	356	-135	-7	-40
a/g:	16808	204	544	-123	-27	-63
a/g:	16840	196	576	-125	-3	-41
a/g:	16744	268	560	-139	3	-61
a/g:	16848	224	328	-138	-26	-71
a/g:	16884	276	612	-141	-3	-52
a/g:	16744	196	564	-135	2	-59
a/g:	16840	308	588	-122	40	-54
a/g:	16856	280	556	-128	15	-64
a/g:	16904	188	512	-134	6	-67
a/g:	16908	316	536	-134	-4	-56
a/g:	16780	196	484	-136	-33	-65
a/g:	16812	220	572	-111	22	-55
a/g:	16800	244	468	-139	-10	-59
a/g:	16784	200	536	-134	-6	-43
a/g:	16880	192	508	-148	15	-63
a/g:	16848	252	512	-130	-10	-69
a/g:	16740	256	528	-129	-27	-63
a/g:	16732	256	496	-130	-10	-48
a/g:	16812	160	472	-122	-17	-53
a/g:	16784	204	520	-146	1	-68
a/g:	16796	272	564	-116	32	-57
a/g:	16740	224	440	-129	-12	-49
a/g:	16812	236	420	-122	12	-65
a/g:	16876	248	524	-128	20	-72
a/g:	16784	252	504	-131	4	-53
a/g:	16788	288	372	-120	-9	-59
a/g:	16868	184	508	-136	-2	-39
a/g:	16800	180	556	-141	11	-47
a/g:	16824	256	348	-134	-10	-52
a/g:	16888	176	540	-134	5	-52
a/g:	16860	264	404	-144	11	-66
a/g:	16792	268	404	-124	-12	-55
a/g:	16724	300	504	-144	-1	-62
a/g:	16824	324	584	-125	-13	-51
a/g:	16864	208	396	-155	-26	-55
a/g:	16748	204	432	-132	-12	-64
a/g:	16856	240	456	-137	-2	-66
a/g:	16768	240	580	-127	1	-57
a/g:	16848	208	516	-135	13	-63
a/g:	16852	208	520	-111	-20	-59
a/g:	16844	168	372	-129	-21	-48
a/g:	16712	284	568	-132	-11	-49
a/g:	16780	172	536	-112	7	-52
a/g:	16780	184	500	-131	5	-59
a/g:	16768	208	436	-127	-14	-59
a/g:	16832	256	436	-126	-30	-41
a/g:	16764	232	380	-133	-11	-74
a/g:	16788	272	428	-122	1	-63
a/g:	16844	272	556	-131	11	-59
a/g:	16816	184	468	-115	-37	-64
a/g:	16844	236	584	-130	24	-62
a/g:	16788	204	436	-133	15	-73
a/g:	16748	312	548	-123	-13	-50
a/g:	16820	172	708	-135	-2	-49
a/g:	16908	248	500	-116	-28	-51
a/g:	16740	188	472	-124	-9	-36
a/g:	16748	236	560	-120	21	-47
a/g:	16832	224	656	-140	4	-70
a/g:	16832	264	524	-137	-7	-52
a/g:	16808	188	560	-140	-2	-37
a/g:	16868	164	504	-120	10	-36
a/g:	16860	236	512	-117	-10	-57
a/g:	16840	144	492	-128	9	-54
a/g:	16812	228	484	-128	15	-53
a/g:	16832	220	408	-126	-2	-47
a/g:	16848	288	508	-123	-20	-59
a/g:	16756	180	508	-113	-2	-55
a/g:	16884	312	516	-126	-1	-43
a/g:	16836	248	484	-139	12	-45
a/g:	16792	144	632	-130	-11	-48
a/g:	16832	236	556	-136	-9	-41
a/g:	16796	288	508	-127	-19	-76
a/g:	16800	304	556	-137	-6	-54
a/g:	16844	184	608	-141	24	-53
a/g:	16776	212	484	-132	-11	-69
a/g:	16892	196	344	-137	25	-52
a/g:	16808	292	532	-117	8	-61
a/g:	16740	288	656	-131	-22	-57
a/g:	16780	256	436	-129	-14	-48
a/g:	16768	260	536	-122	1	-38
a/g:	16716	360	528	-117	-9	-65
a/g:	16760	192	568	-121	-8	-34
a/g:	16844	208	336	-120	-23	-57
a/g:	16664	212	520	-131	-19	-51
a/g:	16824	204	372	-140	7	-41
a/g:	16752	316	472	-123	1	-65
a/g:	16692	140	492	-131	5	-51
a/g:	16788	280	428	-126	-7	-60
a/g:	16772	236	456	-141	-7	-51
a/g:	16940	196	632	-117	27	-23
a/g:	16824	204	644	-123	9	-41
a/g:	16884	280	476	-128	-36	-47
a/g:	16764	228	504	-127	-26	-62
a/g:	16808	236	664	-127	-30	-65
a/g:	16776	152	564	-132	27	-74
a/g:	16732	184	408	-119	24	-35
a/g:	16844	144	544	-144	-4	-48
a/g:	16908	300	588	-141	5	-49
a/g:	16736	260	596	-124	17	-61
a/g:	16896	208	408	-135	-31	-55
a/g:	16856	240	476	-132	-10	-38
a/g:	16828	224	512	-122	-15	-26
a/g:	16860	84	432	-123	17	-64
a/g:	16836	192	524	-137	-2	-56
a/g:	16788	360	520	-147	13	-61
a/g:	16844	212	568	-122	6	-57
a/g:	16860	220	588	-119	-9	-43
a/g:	16704	232	500	-114	-16	-45
a/g:	16784	144	528	-131	-16	-60
a/g:	16828	244	512	-123	-7	-37
a/g:	16844	168	524	-122	-19	-55
a/g:	16684	128	544	-125	-9	-60
a/g:	16936	176	444	-135	-13	-65
a/g:	16872	288	560	-139	-8	-45
a/g:	16692	304	484	-113	2	-50
a/g:	16764	160	584	-142	-30	-26
a/g:	16752	192	528	-136	15	-57
a/g:	16804	204	448	-139	-7	-45
a/g:	16800	332	484	-117	11	-45
a/g:	16856	160	472	-125	-2	-49
a/g:	16824	248	468	-123	10	-75
a/g:	16812	244	564	-133	4	-46
a/g:	16716	296	516	-124	16	-45
a/g:	16700	232	444	-137	6	-52
a/g:	16772	212	456	-121	7	-47
a/g:	16760	148	564	-127	16	-30
a/g:	16916	88	412	-139	-31	-48
a/g:	16736	244	556	-120	11	-44
a/g:	16740	152	496	-119	-4	-49
a/g:	16756	164	468	-117	-6	-50
a/g:	16856	256	528	-136	21	-69
a/g:	16764	260	548	-129	-4	-67
a/g:	16992	228	684	-129	89	-76
a/g:	16732	236	568	-110	-93	-37
a/g:	16776	236	488	-142	8	-56
a/g:	16852	140	316	-112	-59	-29
a/g:	16764	292	344	-127	12	-59
a/g:	16956	96	540	-127	5	-62
a/g:	16824	244	540	-146	-32	-65
a/g:	16780	308	472	-131	11	-54
a/g:	16836	248	524	-144	12	-74
a/g:	16860	180	552	-109	20	-67
a/g:	16892	204	524	-126	-1	-56
a/g:	16684	276	628	-138	-61	-36
a/g:	16768	204	584	-126	-47	-46
a/g:	16864	148	532	-143	-38	-47
a/g:	16852	196	588	-124	13	-48
a/g:	16772	276	404	-137	12	-45
a/g:	16844	216	500	-124	-7	-60
a/g:	16772	256	580	-138	3	-65
a/g:	16828	152	484	-112	39	-56
a/g:	16812	308	440	-129	4	-68
a/g:	16868	280	584	-125	-38	-38
a/g:	16876	232	428	-129	-46	-52
a/g:	16772	216	484	-145	-18	-29
a/g:	16844	224	452	-126	32	-55
a/g:	16844	288	524	-141	3	-63
a/g:	16780	220	488	-144	-1	-45
a/g:	16828	252	552	-115	8	-64
a/g:	16760	192	596	-126	-7	-80
a/g:	16728	216	588	-123	-2	-60
a/g:	16828	300	532	-125	12	-65
a/g:	16816	280	460	-150	-6	-63
a/g:	16740	156	484	-140	-7	-54
a/g:	16756	204	516	-120	-27	-48
a/g:	16852	228	556	-152	-8	-49
a/g:	16820	232	456	-123	2	-45
a/g:	16800	156	500	-140	-15	-52
a/g:	16764	152	476	-132	-3	-51
a/g:	16904	164	508	-134	33	-38
a/g:	16816	232	428	-138	17	-32
a/g:	16896	232	452	-115	0	-58
a/g:	16828	232	492	-119	-21	-63
a/g:	16784	120	440	-126	-32	-61
a/g:	16776	292	608	-131	14	-48
a/g:	16768	292	636	-125	-21	-50
a/g:	16764	268	396	-136	-8	-50
a/g:	16856	152	620	-122	16	-58
a/g:	16748	248	424	-138	3	-53
a/g:	16732	248	548	-122	0	-29
a/g:	16816	172	416	-123	16	-55
a/g:	16744	212	424	-137	11	-46
a/g:	16816	96	480	-141	-13	-73
a/g:	16860	208	524	-138	-1	-48
a/g:	16800	204	544	-130	1	-51
a/g:	16684	252	444	-125	-21	-53
a/g:	16756	228	584	-144	-8	-55
a/g:	16796	80	656	-118	-5	-69
a/g:	16876	264	496	-129	-15	-51
a/g:	16832	168	340	-109	-21	-63
a/g:	16784	156	544	-127	21	-59
a/g:	16852	328	584	-127	-28	-52
a/g:	16788	164	536	-121	-39	-48
a/g:	16728	284	552	-136	-28	-55
a/g:	16908	216	568	-116	2	-61
a/g:	16828	208	500	-136	15	-49
a/g:	16792	248	560	-117	-5	-54
a/g:	16792	204	568	-118	-34	-48
a/g:	16800	212	476	-132	-11	-59
a/g:	16760	180	468	-118	23	-65
a/g:	16860	256	484	-135	-9	-52
a/g:	16776	84	520	-133	-40	-57
a/g:	16764	232	436	-128	-32	-51
a/g:	16740	264	480	-144	-24	-63
a/g:	16780	120	304	-128	-7	-71
a/g:	16768	292	460	-132	12	-63
a/g:	16804	268	432	-140	-4	-32
a/g:	16792	280	460	-136	-12	-65
a/g:	16844	212	564	-136	5	-61
a/g:	16784	228	508	-137	2	-60
a/g:	16852	192	548	-135	-14	-52
a/g:	16768	252	656	-108	-1	-41
a/g:	16848	220	528	-135	-11	-48
a/g:	16824	232	472	-132	0	-35
a/g:	16820	216	424	-116	-2	-71
a/g:	16752	180	524	-126	1	-54
a/g:	16792	244	476	-127	-5	-52
a/g:	16756	216	608	-134	5	-66
a/g:	16912	340	488	-121	-9	-47
a/g:	16892	72	540	-123	-5	-46
a/g:	16924	148	456	-133	-12	-46
a/g:	16744	236	428	-129	-10	-60
a/g:	16816	204	532	-138	-31	-66
a/g:	16760	232	528	-152	-8	-35
a/g:	16844	256	544	-149	9	-65
a/g:	16744	268	632	-137	-17	-44
a/g:	16872	272	352	-135	-10	-57
a/g:	16872	272	448	-131	10	-51
a/g:	16844	208	600	-138	-11	-56
a/g:	16696	224	512	-122	13	-50
a/g:	16752	220	500	-124	-3	-47
a/g:	16912	184	560	-128	4	-45
a/g:	16912	220	460	-130	-6	-56
a/g:	16868	304	620	-142	-19	-52
a/g:	16752	232	468	-135	-5	-47
a/g:	16800	208	484	-155	-3	-52
a/g:	16648	208	648	-140	6	-49
a/g:	16876	260	380	-130	14	-53
a/g:	16776	232	528	-128	-17	-59
a/g:	16820	232	444	-137	9	-46
a/g:	16828	280	608	-125	-7	-58
a/g:	16756	228	304	-133	-6	-57
a/g:	16828	168	396	-131	-3	-53
a/g:	16852	272	568	-126	9	-51
a/g:	16740	192	568	-145	-33	-37
a/g:	16852	244	572	-114	2	-66
a/g:	16828	248	620	-117	22	-62
a/g:	16852	96	448	-126	-17	-50
a/g:	16832	172	504	-128	-2	-43
a/g:	16784	248	568	-139	-51	-31
a/g:	16764	144	524	-114	15	-43
a/g:	16776	216	576	-142	-11	-55
a/g:	16740	264	608	-125	3	-55
a/g:	16840	196	556	-129	28	-49
a/g:	16912	236	484	-117	-3	-57
a/g:	16816	224	444	-143	-6	-66
a/g:	16832	324	620	-112	1	-50
a/g:	16808	276	524	-137	-1	-46
a/g:	16784	252	496	-118	4	-45
a/g:	16784	168	348	-145	15	-29
a/g:	16876	260	540	-131	40	-50
a/g:	16768	180	564	-129	21	-56
a/g:	16892	132	572	-101	6	-45
a/g:	16852	308	556	-134	5	-61
a/g:	16792	156	476	-130	-22	-61
a/g:	16796	192	584	-135	-11	-45
a/g:	16788	136	532	-149	6	-49
a/g:	16876	272	508	-115	15	-57
a/g:	16776	164	628	-137	17	-73
a/g:	16776	224	504	-142	14	-37
a/g:	16884	272	628	-128	-9	-35
a/g:	16808	208	608	-122	-14	-40
a/g:	16748	188	480	-147	4	-52
a/g:	16668	232	428	-133	1	-63
a/g:	16816	196	472	-136	33	-66
a/g:	16808	244	520	-138	-12	-54
a/g:	16772	296	524	-124	-13	-56
a/g:	16872	144	592	-118	13	-39
a/g:	16800	244	508	-130	2	-44
a/g:	16828	220	544	-133	-12	-70
a/g:	16804	268	516	-128	-6	-66
a/g:	16828	300	480	-127	22	-61
a/g:	16788	192	540	-138	-11	-49
a/g:	16868	152	500	-144	0	-64
a/g:	16828	264	496	-129	1	-51
a/g:	16776	140	468	-132	-8	-52
a/g:	16768	224	536	-124	8	-50
a/g:	16768	204	496	-124	-11	-52
a/g:	16872	284	492	-132	7	-45
a/g:	16836	240	400	-139	-14	-48
a/g:	16872	256	528	-137	-29	-51
a/g:	16852	168	508	-131	-19	-54
a/g:	16760	192	368	-138	6	-53
a/g:	16748	236	552	-127	-6	-59
a/g:	16860	224	436	-117	-11	-64
a/g:	16800	256	540	-133	-5	-44
a/g:	16856	240	412	-125	3	-59
a/g:	16792	200	496	-134	3	-63
a/g:	16764	184	588	-128	-9	-43
a/g:	16732	196	520	-130	-7	-60
a/g:	16800	236	500	-142	-6	-54
a/g:	16764	224	456	-136	-2	-58
a/g:	16712	244	476	-135	-10	-49
a/g:	16800	256	532	-127	-7	-57
a/g:	16744	232	512	-127	-4	-63
a/g:	16728	260	452	-123	-16	-57
a/g:	16816	268	572	-134	-22	-54
a/g:	16916	124	508	-126	6	-73
a/g:	16904	188	468	-137	5	-59
a/g:	16872	152	656	-128	2	-49
a/g:	16868	204	388	-119	21	-45
a/g:	16796	236	476	-121	-8	-53
a/g:	16756	324	684	-127	-2	-55
a/g:	16904	248	492	-124	-16	-44
a/g:	16772	160	556	-151	4	-35
a/g:	16764	244	548	-140	0	-47
a/g:	16752	316	512	-126	-8	-46
a/g:	16736	260	460	-138	-9	-68
a/g:	16708	204	496	-130	-7	-53
a/g:	16784	260	496	-121	-13	-59
a/g:	16712	232	476	-126	-3	-63
a/g:	16780	252	584	-132	-18	-49
a/g:	16796	224	632	-129	-21	-57
a/g:	16812	216	564	-133	12	-47
a/g:	16836	284	508	-121	10	-45
a/g:	16808	176	592	-114	-8	-52
a/g:	16800	368	484	-128	4	-74
a/g:	16812	232	584	-124	10	-44
a/g:	16848	264	536	-129	-15	-57
a/g:	16808	192	432	-133	-8	-48
a/g:	16728	268	528	-118	1	-52
a/g:	16816	228	388	-126	-8	-66
a/g:	16796	244	464	-126	14	-44
a/g:	16680	360	536	-139	6	-78
a/g:	16728	184	556	-124	-5	-43
a/g:	16724	252	508	-149	-23	-60
a/g:	16864	292	456	-127	-5	-44
a/g:	16816	184	576	-124	-12	-51
a/g:	16784	324	588	-124	-22	-54
a/g:	16728	220	616	-124	18	-60
a/g:	16796	192	452	-132	4	-39
a/g:	16820	252	544	-134	-19	-59
a/g:	16852	172	500	-145	9	-60
a/g:	16884	212	488	-105	-23	-48
a/g:	16724	176	496	-143	-19	-50
a/g:	16872	248	472	-124	3	-53
a/g:	16852	288	424	-113	-6	-62
a/g:	16712	312	596	-118	-26	-39
a/g:	16732	260	516	-134	0	-64
a/g:	16808	244	492	-127	14	-50
a/g:	16756	244	644	-138	-10	-54
a/g:	16860	220	408	-138	-24	-62
a/g:	16800	184	432	-143	-13	-54
a/g:	16784	212	560	-125	0	-66
a/g:	16772	164	476	-143	1	-42
a/g:	16756	272	488	-132	5	-59
a/g:	16896	212	496	-133	-13	-39
a/g:	16840	180	516	-142	-2	-57
a/g:	16728	252	444	-145	11	-67
a/g:	16872	304	588	-145	13	-54
a/g:	16792	248	608	-125	-3	-66
a/g:	16796	164	568	-131	-17	-68
a/g:	16696	240	584	-125	-5	-54
a/g:	16808	288	484	-131	-13	-50
a/g:	16828	276	500	-131	11	-38
a/g:	16780	228	420	-128	13	-54
a/g:	16704	244	624	-126	11	-46
a/g:	16736	268	628	-117	11	-67
a/g:	16848	180	356	-139	-22	-44
a/g:	16836	144	488	-144	-12	-52
a/g:	16804	224	496	-131	-18	-64
a/g:	16840	268	480	-154	1	-37
a/g:	16724	212	548	-132	-8	-58
